time_s,Product,Impurity
0.0,0.0,0.0
1.0,-5.485326930145451e-131,-1.0694670365334961e-116
2.0,-2.6703895643635237e-121,-2.5677783092485125e-107
3.0,-2.419098431264998e-116,4.293135423200502e-103
4.0,-3.812851104063077e-113,2.1870472583822635e-99
5.0,1.2399760123373433e-109,-6.863760892344824e-97
6.0,-4.777461782571646e-107,1.5627496846285685e-93
7.0,-1.0656149039577262e-104,-3.6856006759538404e-93
8.0,-5.818807888783283e-103,-1.204715052491811e-89
9.0,-9.072399218955294e-102,-4.1267507010396456e-88
10.0,3.547423914799178e-100,8.25816596784798e-87
11.0,1.796307382274933e-98,4.6257447313632706e-85
12.0,3.1662022849134314e-97,2.11334603511401e-84
13.0,1.5739659123072999e-96,-1.1389048450622134e-82
14.0,-5.331803160420208e-95,-5.858041857957998e-82
15.0,-7.445902299438055e-94,1.1018098088423956e-80
16.0,-3.3579920123775142e-93,9.461198253833708e-80
17.0,1.6452362371707353e-92,-3.0435425623114034e-79
18.0,3.5847634872523736e-91,-6.880808854418767e-78
19.0,2.6511461609164145e-90,-2.3325454309562565e-77
20.0,1.0159795405885402e-89,1.3145705672524045e-76
21.0,1.292032023141889e-90,1.4357785583154043e-75
22.0,-2.557163461878555e-88,3.833546416350945e-75
23.0,-1.9289156035763845e-87,-1.5424047740934862e-74
24.0,-8.32332248346924e-87,-1.5497941554312213e-73
25.0,-2.056164582255013e-86,-4.335057608006292e-73
26.0,2.2311970794163886e-87,5.961732959086885e-73
27.0,3.14870136731757e-85,9.213939100543488e-72
28.0,1.8173065451657957e-84,3.1534364527133405e-71
29.0,6.459336241218515e-84,1.584106076277198e-71
30.0,1.4986680053896175e-83,-3.0220958076137854e-70
31.0,1.2621996548740711e-83,-1.3775996824737057e-69
32.0,-7.958392413793345e-83,-2.3321494164179807e-69
33.0,-5.085556846646083e-82,3.919872754998706e-69
34.0,-1.7928070234601665e-81,3.4875759000898485e-68
35.0,-4.450380692316844e-81,9.582051673403842e-68
36.0,-7.095890977670146e-81,7.36885227312538e-68
37.0,-4.210599973074084e-82,-3.885484007195331e-67
38.0,4.46444176540805e-80,-1.6046829944881917e-66
39.0,1.8298481807509703e-79,-3.031856976968222e-66
40.0,4.7675416605363525e-79,-9.47927523898633e-67
41.0,8.934173854570631e-79,1.1800854712699713e-65
42.0,1.0143259433680154e-78,4.082355533653295e-65
43.0,-5.906063835897281e-79,6.876795143664395e-65
44.0,-7.288141796855888e-78,1.7022756093276955e-65
45.0,-2.476761880120842e-77,-2.5713720405084185e-64
46.0,-5.907789585451e-77,-8.476819174005229e-64
47.0,-1.0883403804137073e-76,-1.4752905524859232e-63
48.0,-1.4362707305399297e-76,-8.664115178158837e-64
49.0,-6.199011205752744e-77,3.5710443028560967e-63
50.0,3.687045922980806e-76,1.4077687229810392e-62
51.0,1.5501400251572806e-75,2.791464061152214e-62
52.0,4.0172535328831697e-75,2.9318678461774934e-62
53.0,8.123326971081101e-75,-1.8862788391944668e-62
54.0,1.3143845125792336e-74,-1.6471510799134947e-61
55.0,1.5421640103758743e-74,-4.090787731140694e-61
56.0,5.67038736684273e-75,-6.004757014302282e-61
57.0,-3.42412471477328e-74,-3.13804380458019e-61
58.0,-1.3343219036450029e-73,1.1894029453368632e-60
59.0,-3.2720548388130166e-73,4.5608001968301756e-60
60.0,-6.371474062887183e-73,9.257700352303345e-60
61.0,-1.0357168616480903e-72,1.1899283582540443e-59
62.0,-1.3271792732275218e-72,3.222694793646426e-60
63.0,-1.0218360431073597e-72,-2.8923686108606873e-59
64.0,8.376501055794713e-73,-8.85243128045373e-59
65.0,5.780078367056792e-72,-1.4779170772711843e-58
66.0,1.5757615592212688e-71,-1.178174608400387e-58
67.0,3.2419398986431137e-71,1.61473298460096e-58
68.0,5.53738210727371e-71,8.693080142805485e-58
69.0,7.906243011084324e-71,2.05480701545911e-57
70.0,8.80186445895518e-71,3.4048968606118524e-57
71.0,5.1080989843175405e-71,4.069562504508411e-57
72.0,-8.31320488081852e-71,2.9112183715366444e-57
73.0,-3.851223958364963e-70,-4.1215628669363075e-58
74.0,-9.312206533140281e-70,-3.1531219069041973e-57
75.0,-1.7681990637768994e-69,4.072354644854455e-57
76.0,-2.844277278897272e-69,4.140647879623954e-56
77.0,-3.8993209051408133e-69,1.4282012244704973e-55
78.0,-4.318317825923456e-69,3.567438795003175e-55
79.0,-2.9761538804837513e-69,7.458582503530575e-55
80.0,1.8631993747139419e-69,1.3948226554641418e-54
81.0,1.2478878886355416e-68,2.4476664750939193e-54
82.0,3.1283167434905727e-68,4.216259208689039e-54
83.0,5.985490761243546e-68,7.42475851081646e-54
84.0,9.720079470668717e-68,1.3682642034126598e-53
85.0,1.3710822366110705e-67,2.6324455559467617e-53
86.0,1.6477629747722192e-67,5.178531898860231e-53
87.0,1.5317021959909945e-67,1.018990760008337e-52
88.0,6.040817016858329e-68,1.977767555023876e-52
89.0,-1.6975264032602322e-67,3.766485229296264e-52
90.0,-6.012916797133778e-67,7.04363289566173e-52
91.0,-1.289250817250807e-66,1.2987812652984468e-51
92.0,-2.2491918810311774e-66,2.3743985517187036e-51
93.0,-3.4052119929234407e-66,4.350959779036352e-51
94.0,-4.537460224043989e-66,7.988312411699885e-51
95.0,-5.233049791268775e-66,1.4583220154328445e-50
96.0,-4.796932762984796e-66,2.664330447542273e-50
97.0,-2.2254696976869618e-66,4.838082863265709e-50
98.0,3.744715472470789e-66,8.755459154519207e-50
99.0,1.4466462788429136e-65,1.5792305697888454e-49
100.0,3.117196897320597e-65,2.8257442855833592e-49
101.0,5.412787755906354e-65,5.0402784445083245e-49
102.0,8.218280519254523e-65,8.942744507963138e-49
103.0,1.1147052123704027e-64,1.5757714650127546e-48
104.0,1.3404091537706297e-64,2.771589536407124e-48
105.0,1.3730015984499512e-64,4.8476317384287514e-48
106.0,1.0250436335558988e-64,8.431796889064463e-48
107.0,6.361642903669536e-66,1.4653148623159023e-47
108.0,-1.787541385535114e-64,2.5314417389643816e-47
109.0,-4.7861459147190495e-64,4.352820281646167e-47
110.0,-9.073649669194657e-64,7.477866028608421e-47
111.0,-1.4626461021624196e-63,1.2768125161365177e-46
112.0,-2.0999207556100976e-63,2.172462533826601e-46
113.0,-2.7210544543705234e-63,3.68783083334314e-46
114.0,-3.154103106373264e-63,6.226099410273217e-46
115.0,-3.1343171423750387e-63,1.0484176351281934e-45
116.0,-2.3068322611098622e-63,1.7597069220694364e-45
117.0,-2.26117976004255e-64,2.939318427119485e-45
118.0,3.570927429807963e-63,4.90029506460682e-45
119.0,9.524275796042329e-63,8.138019118053573e-45
120.0,1.7893312933125978e-62,1.3457079186424922e-44
121.0,2.8529162210482486e-62,2.222003057339035e-44
122.0,4.076171752067875e-62,3.653325941214773e-44
123.0,5.298672112399794e-62,5.983587273905984e-44
