parameter,output,normalized_sensitivity
mu_max,max_viable_cells,3.4792301580086575
mu_max,final_product,4.156408378214112
mu_max,final_glucose,17.29116229096764
mu_max,IVCD,4.153196912990729
K_G,max_viable_cells,0.22633715629616624
K_G,final_product,0.1793517587920694
K_G,final_glucose,1.5350760519362119
K_G,IVCD,0.17108585039274365
kd,max_viable_cells,2.5785731455955623
kd,final_product,3.105006957846556
kd,final_glucose,13.456266534504095
kd,IVCD,3.0408013032230627
qG,max_viable_cells,0.3938196004183017
qG,final_product,0.08968525196453948
qG,final_glucose,5.682086958629463
qG,IVCD,0.08010913215833503
qP,max_viable_cells,0.0
qP,final_product,0.9999999999999999
qP,final_glucose,0.0
qP,IVCD,0.0
